Species,grassland,site,grass.forb.shrub,photosynthesis,annual.perennial,max.height (mm),root.diameter (mm),SRL (m g-1),root.tissue.density (cm3 g-1),root.nitrogen.content (%),SLA (cm2 g-1),LDMC (g g-1),Leaf.tissue.density (cm3 g-1),Leaf.area (cm2),tugor.loss.point (Mpa),leaf.nitrogen.content (%),author_location.primary,relation.to.EDGE.primary,author_location.secondary,relation.to.EDGE.secondary,author_location.tertiary,relation.to.EDGE.tertiary
Schizachyriumscoparium,southern mixedgrass,HYS,G,C4,Perennial,91.4125,0.17486,195.7415543,0.228333333,0.9905,161.2498759,0.341577904,0.7731486,2.43956,-2.254976,NA,AS_KS,local,NA,NA,NA,NA
Schrankianuttallii,southern mixedgrass,HYS,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senecioplattensis,southern mixedgrass,HYS,F,C3,Perennial,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sileneantirrhina,southern mixedgrass,HYS,F,C3,Annual,NA,NA,NA,NA,NA,200,NA,0.3846154,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Sphaeralceacoccinea,southern mixedgrass,HYS,F,C3,Perennial,22.603,0.2898,129.21,0.133333333,1.5,63.81737363,0.382770141,0.22081766,3.75486111,-1.356136826,2.809,AS_KS,local,NA,NA,NA,NA
Sporobolusasper,southern mixedgrass,HYS,G,C4,Perennial,95.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporoboluscryptandrus,southern mixedgrass,HYS,G,C4,Perennial,85.7,NA,NA,NA,NA,116.95906,0.376709417,0.58,NA,-2.5918896,NA,AS_KS,local,NA,NA,NA,NA
Thelespermamegapotamicum,southern mixedgrass,HYS,F,C3,Perennial,NA,NA,NA,NA,NA,NA,0.264305745,NA,NA,NA,NA,AS_KS,local,NA,NA,NA,NA
Tragiaramosa,southern mixedgrass,HYS,F,C3,Perennial,22.2,NA,NA,NA,NA,NA,0.350332759,NA,NA,NA,NA,AS_KS,local,NA,NA,NA,NA
Tragopogondubius,southern mixedgrass,HYS,F,C3,Biennial,51.08075,0.435,22.84,0.371,1.137,110.2,0.217106333,0.377,8.4654524,-1.074377472,3.029,ST_KS,regional,NA,NA,NA,NA
Ambrosiapsilostachya,tallgrass,KNZ,F,C3,Perennial,44.425,0.206,145.345,0.374,1.29,108.6214169,0.2879133,0.56,4.920375,-2.73749216,NA,AS_KS,regional,NA,NA,NA,NA
Amorphacanescens,tallgrass,KNZ,S,C3,Perennial,NA,0.194,73.78,0.586,NA,179.5875,0.624936769,0.3934341,NA,NA,NA,AS_KS,regional,NA,NA,NA,NA
Andropogongerardii,tallgrass,KNZ,G,C4,Perennial,NA,0.2409,45.38839,0.4841379,1.44,172.2349175,0.321700284,0.4786185,NA,-2.0594736,NA,AS_KS,regional,TRY_KS,regional,NA,NA
Artemisialudoviciana,tallgrass,KNZ,F,C3,Perennial,91.44,0.2829667,62.0423,0.2949271,NA,142.8558,NA,0.4447675,NA,NA,NA,ST_KS,local,TRY_KS,regional,NA,NA
Asclepiasstenophylla,tallgrass,KNZ,F,C3,Perennial,NA,NA,NA,NA,NA,112.67606,NA,0.3413462,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Asclepiasverticillata,tallgrass,KNZ,F,C3,Perennial,73.7,0.4293,29.21309,0.2663795,NA,167.08895,NA,0.3837415,NA,NA,NA,ST_KS,local,TRY_KS,regional,NA,NA
Asterericoides,tallgrass,KNZ,F,C3,Perennial,52.57,NA,NA,NA,NA,95.8,0.3376,NA,0.2973,NA,1.2,AF_IA,regional,NA,NA,NA,NA
Baptisiabracteata,tallgrass,KNZ,F,C3,Perennial,29.8,NA,NA,NA,NA,168.35017,NA,0.22,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Boutelouacurtipendula,tallgrass,KNZ,G,C4,Perennial,68.495,0.1827286,100.63455,0.5510436,0.884,160.67665,0.425945204,0.548931,4.08076,-3.0114032,1.6,ST_KS,local,AF_AI,regional,TRY_KS,regional
Carexbrevior,tallgrass,KNZ,G,C3,Perennial,NA,NA,NA,NA,NA,208.33333,NA,0.3428571,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Carexheliophila,tallgrass,KNZ,G,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carexmeadii,tallgrass,KNZ,G,C3,Perennial,44,NA,NA,NA,NA,208.98642,NA,0.435,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Daleacandida,tallgrass,KNZ,F,C3,Perennial,64.6,0.3093429,109.4984,0.11247663,NA,87.10801,0.31388,0.41,NA,NA,2.52,AF_AI,regional,TRY_CAN,global,NA,NA
Daleapurpurea,tallgrass,KNZ,F,C3,Perennial,35.6,0.2737571,142.3345,0.08867978,NA,59.52381,0.31081,0.48,NA,NA,2.36,AF_AI,regional,TRY_CAN,global,NA,NA
Dichantheliumacuminatum,tallgrass,KNZ,G,C3,Perennial,NA,0.168,180.9,0.264,NA,309.4,NA,0.337,NA,NA,NA,ST_KS,local,NA,NA,NA,NA
Dichantheliumoligosanthes,tallgrass,KNZ,G,C3,Perennial,31.82,NA,NA,NA,NA,100.7,0.32558,NA,3.1738,NA,0.9,AF_AI,regional,NA,NA,NA,NA
Eragrostisspectabilis,tallgrass,KNZ,G,C4,Perennial,25.516,NA,NA,0.372,NA,129.47415,NA,0.48,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Euphorbianutans,tallgrass,KNZ,F,C4,Annual,39.2778,0.19485,115.46675,0.301148,NA,122.6628,NA,0.6725255,NA,NA,NA,ST_KS,local,TRY_KS,regional,NA,NA
Koeleriapyramidata,tallgrass,KNZ,G,C3,Perennial,24.1,0.127,283.3,0.334,0.516666667,160.7,0.401028467,0.487,2.385375,-1.435339472,1.385,ST_KS,local,NA,NA,NA,NA
Lespedezacapitata,tallgrass,KNZ,F,C3,Perennial,110.38267,0.29655,101.85666,0.301551,NA,150.88625,0.38325,0.4289675,NA,NA,2.32,ST_KS,local,AF_AI,regional,TRY_KS,regional
Oxalisstricta,tallgrass,KNZ,F,C3,Perennial,29.30083,NA,NA,NA,NA,255.10204,0.169414116,0.28,8.438333,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Physalispumila,tallgrass,KNZ,F,C3,Perennial,NA,NA,NA,NA,NA,96.62921,NA,0.3980322,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Psoraleatenuiflora,tallgrass,KNZ,F,C3,Perennial,NA,0.3176333,58.831315,0.4262845,NA,100.07,NA,0.33698,NA,NA,NA,ST_KS,local,TRY_KS,regional,NA,NA
Ruelliahumilis,tallgrass,KNZ,F,C3,Perennial,46.224,0.4301655,18.73055,0.4105155,NA,182.519,NA,0.3585735,NA,NA,NA,ST_KS,local,TRY_KS,regional,NA,NA
Schizachyriumscoparium,tallgrass,KNZ,G,C4,Perennial,91.4125,0.202475,79.36428,0.444032,0.9905,178.6083,0.341577904,0.7250745,2.43956,-2.254976,NA,ST_KS,local,TRY_KS,regional,NA,NA
Solidagomissouriensis,tallgrass,KNZ,F,C3,Perennial,91.44,0.262,83.99,0.455,NA,103.333785,0.348382413,0.365,NA,NA,0.96,ST_KS,local,AF_AI,regional,NA,NA
