Species,author.location,site,grass.forb.shrub,Photosynthesis,annual.Perennial,max.height.cm.,Root.diameter..mm.,SRL..mm.g.,Root.tissue.density.gcm.3.,Root.N..,SLA..cm2.g..cm2.g.1.,LDMC..g.g.,Leaf.tissue.density..gcm.3.,Leaf.area..cm2.,tugor.loss.point,Leaf.N....
Aristidaadscensionis,TRY/global; sevLTER/ blue,SBK,G,C4,Annual,29.33333,NA,162.48222,NA,NA,265.2631,0.352607,NA,NA,NA,NA
Astragalusfeensis,NA,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astragalussp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boutelouaeriopoda,AS/NM; RG/sev,SBK,G,C4,Perennial,60.96,NA,NA,NA,NA,165.7349725,0.358500582,NA,NA,-2.6979008,2.11225
Boutelouagracilis,TRY/AZ,SBK,G,C4,Perennial,34.5,0.183741667,123.04093,0.3752851,0.56,110.4342855,0.41375,0.412646057,1.09699,-2.517091661,1.3646
Chamaesycealbomarginata,RG/sev,SBK,G,C4,Perennial,NA,NA,NA,NA,NA,126.4952309,NA,NA,1.2973,NA,NA
Chamaesyceserpyllifolia,TRY/AZ; RG/sev,SBK,F,C4,Annual,1.527778,NA,NA,NA,NA,199.2828272,NA,NA,NA,NA,1.6056
Dasyochloapulchella,AS/NM; RG/sev,SBK,G,C4,Perennial,NA,NA,NA,NA,NA,165.6899912,0.440023543,NA,NA,-4.6562288,1.055
Descurainiapinnata,NA,SBK,F,C3,Annual,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinomastusintertextus,NA,SBK,S,CAM,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Escobariavivipara,NA,SBK,S,CAM,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbiaexstipulata,RG/sev,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,214.6976351,NA,NA,NA,NA,2.4043
Gauracoccinea,RG/sev; sevLTER/ blue,SBK,F,C3,Perennial,NA,NA,73.07968,NA,NA,149.3403465,0.2637897,NA,NA,NA,2.5336
Glandulariabipinnatifida,TRY/KZ,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,144.3609,NA,0.2770833,NA,NA,NA
